"Date","Import price","Export price","Usage","Solar","Imported","Import cost","Exported","Export profit","Charge rate","Battery","Battery cycles","Bill"
2022-01-01 00:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,0.00,0.00,0.00,0.07
2022-01-01 00:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 01:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 01:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 02:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 02:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 03:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 03:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 04:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,1.35,0.15,0.34
2022-01-01 04:30:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,2.70,0.15,0.34
2022-01-01 05:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,4.05,0.15,0.34
2022-01-01 05:30:00+00:00,0.20,0.15,0.42,0.00,1.94,0.19,0,0.00,1.52,4.73,0.08,0.19
2022-01-01 06:00:00+00:00,0.20,0.15,1.70,0.00,2.12,0.21,0,0.00,0.43,4.93,0.02,0.21
2022-01-01 06:30:00+00:00,0.20,0.15,1.70,0.00,1.81,0.18,0,0.00,0.12,4.98,0.01,0.18
2022-01-01 07:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,4.34,0.06,-0.00
2022-01-01 07:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.71,0.06,-0.00
2022-01-01 08:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.07,0.06,-0.00
2022-01-01 08:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.44,0.06,-0.00
